inventor_name,assignee_name_orig,assignee_name_current,pub_date,priority_date,grant_date,filing_date,forward_cite_no_family,forward_cite_yes_family,backward_cite_no_family,backward_cite_yes_family,url,patent
"[{""inventor_name"": ""Thomas-Alva Edison""}]","[{""assignee_name"": ""Edison Thomas Alva""}]",[],1891-04-30,1890-08-25,,,[],[],[],[],CH2881A,https://patents.google.com/patent/CH2881A
"[{""inventor_name"": ""Errington Thomas Alva Edison""}]","[{""assignee_name"": ""Errington Thomas Alva Edison""}]",[],1921-11-22,1921-03-14,1921-11-22,,"[{""patent_number"": ""US2827556A"", ""priority_date"": ""1956-07-16"", ""pub_date"": ""1958-03-18""}, {""patent_number"": ""US4870543A"", ""priority_date"": ""1988-10-24"", ""pub_date"": ""1989-09-26""}, {""patent_number"": ""WO1997034779A1"", ""priority_date"": ""1996-03-16"", ""pub_date"": ""1997-09-25""}, {""patent_number"": ""AT407862B"", ""priority_date"": ""1995-03-20"", ""pub_date"": ""2001-07-25""}, {""patent_number"": ""US20110051214A1"", ""priority_date"": ""2009-09-03"", ""pub_date"": ""2011-03-03""}, {""patent_number"": ""US20130188373A1"", ""priority_date"": ""2012-01-21"", ""pub_date"": ""2013-07-25""}]",[],[],[],US1398011A,https://patents.google.com/patent/US1398011A
"[{""inventor_name"": ""Thomas Alva Edison""}]","[{""assignee_name"": ""Edison Storage Battery Co""}]",[],1902-02-04,,1902-02-04,,"[{""patent_number"": ""US2934581A"", ""priority_date"": ""1951-12-01"", ""pub_date"": ""1960-04-26""}, {""patent_number"": ""US2994626A"", ""priority_date"": ""1958-10-27"", ""pub_date"": ""1961-08-01""}, {""patent_number"": ""US3066178A"", ""priority_date"": ""1954-02-02"", ""pub_date"": ""1962-11-27""}, {""patent_number"": ""US3076860A"", ""priority_date"": ""1958-12-19"", ""pub_date"": ""1963-02-05""}, {""patent_number"": ""US20060269842A1"", ""priority_date"": ""2005-05-31"", ""pub_date"": ""2006-11-30""}]",[],[],[],US692507A,https://patents.google.com/patent/US692507A
"[{""inventor_name"": ""Thomas-Alva Edison""}]","[{""assignee_name"": ""Edison Thomas Alva""}]",[],1890-07-15,1890-03-11,,,[],[],[],[],CH2000A,https://patents.google.com/patent/CH2000A
"[{""inventor_name"": ""Thomas Alva Edison Lake""}]","[{""assignee_name"": ""Thomas Alva Edison Lake""}]",[],1915-02-02,1914-03-16,1915-02-02,,"[{""patent_number"": ""US2452447A"", ""priority_date"": ""1934-08-29"", ""pub_date"": ""1948-10-26""}]",[],[],[],US1127028A,https://patents.google.com/patent/US1127028A
"[{""inventor_name"": ""Inventor Llewellyn Park West Orange New Jersey U. SA Thomas Alva Edison""}]","[{""assignee_name"": ""Thomas A. Edison, Incorporated""}]","[{""assignee_name"": ""\n    Thomas A Edison Inc\n  ""}]",1912-10-15,,,,[],[],[],[],AU403812A,https://patents.google.com/patent/AU403812A
"[{""inventor_name"": ""Thomas Alva Edison""}]","[{""assignee_name"": ""Thomas Alva Edison""}]",[],1880-01-27,1880-04-23,1880-01-27,,"[{""patent_number"": ""US2904716A"", ""priority_date"": ""1955-11-28"", ""pub_date"": ""1959-09-15""}, {""patent_number"": ""US3011981A"", ""priority_date"": ""1958-04-21"", ""pub_date"": ""1961-12-05""}, {""patent_number"": ""US3210589A"", ""priority_date"": ""1960-04-28"", ""pub_date"": ""1965-10-05""}, {""patent_number"": ""US4856179A"", ""priority_date"": ""1983-04-21"", ""pub_date"": ""1989-08-15""}, {""patent_number"": ""US5814840A"", ""priority_date"": ""1995-06-06"", ""pub_date"": ""1998-09-29""}, {""patent_number"": ""US6492897B1"", ""priority_date"": ""2000-08-04"", ""pub_date"": ""2002-12-10""}, {""patent_number"": ""EP1339228A1"", ""priority_date"": ""2002-02-20"", ""pub_date"": ""2003-08-27""}, {""patent_number"": ""US20090116099A1"", ""priority_date"": ""2005-12-09"", ""pub_date"": ""2009-05-07""}, {""patent_number"": ""US20100085773A1"", ""priority_date"": ""2009-01-02"", ""pub_date"": ""2010-04-08""}, {""patent_number"": ""US20100172138A1"", ""priority_date"": ""2009-01-02"", ""pub_date"": ""2010-07-08""}, {""patent_number"": ""US20100220492A1"", ""priority_date"": ""2009-06-11"", ""pub_date"": ""2010-09-02""}, {""patent_number"": ""US20100315802A1"", ""priority_date"": ""2009-06-11"", ""pub_date"": ""2010-12-16""}, {""patent_number"": ""US20100315836A1"", ""priority_date"": ""2009-06-11"", ""pub_date"": ""2010-12-16""}, {""patent_number"": ""US20130087723A1"", ""priority_date"": ""2010-06-16"", ""pub_date"": ""2013-04-11""}, {""patent_number"": ""WO2014000724A1"", ""priority_date"": ""2012-06-26"", ""pub_date"": ""2014-01-03""}, {""patent_number"": ""DE102012020918A1"", ""priority_date"": ""2012-10-25"", ""pub_date"": ""2014-04-30""}, {""patent_number"": ""US8733982B2"", ""priority_date"": ""2009-11-18"", ""pub_date"": ""2014-05-27""}, {""patent_number"": ""US8827531B2"", ""priority_date"": ""2011-05-13"", ""pub_date"": ""2014-09-09""}, {""patent_number"": ""US8853932B2"", ""priority_date"": ""2010-09-23"", ""pub_date"": ""2014-10-07""}, {""patent_number"": ""US9091151B2"", ""priority_date"": ""2009-11-19"", ""pub_date"": ""2015-07-28""}, {""patent_number"": ""WO2015113059A1"", ""priority_date"": ""2014-01-27"", ""pub_date"": ""2015-07-30""}, {""patent_number"": ""US20160047514A1"", ""priority_date"": ""2014-08-18"", ""pub_date"": ""2016-02-18""}, {""patent_number"": ""US9285086B2"", ""priority_date"": ""2013-11-08"", ""pub_date"": ""2016-03-15""}, {""patent_number"": ""US9291340B2"", ""priority_date"": ""2013-10-23"", ""pub_date"": ""2016-03-22""}, {""patent_number"": ""US20160313696A1"", ""priority_date"": ""2015-04-24"", ""pub_date"": ""2016-10-27""}]","[{""patent_number"": ""PT1805452E"", ""priority_date"": ""2004-09-29"", ""pub_date"": ""2014-05-07""}, {""patent_number"": ""WO2014096350A1"", ""priority_date"": ""2012-12-21"", ""pub_date"": ""2014-06-26""}]",[],[],US223898A,https://patents.google.com/patent/US223898A
"[{""inventor_name"": ""Thomas Alva Edison""}]","[{""assignee_name"": ""Thomas Alva Edison""}]",[],1905-05-10,1902-02-07,1905-05-10,,"[{""patent_number"": ""DE102007027929A1"", ""priority_date"": ""2007-06-18"", ""pub_date"": ""2009-01-15""}]",[],[],[],AT20010B,https://patents.google.com/patent/AT20010B
"[{""inventor_name"": ""Thomas Alva Edison""}]","[{""assignee_name"": ""Edison Storage Battery Co""}]",[],1906-05-29,1904-11-05,1906-05-29,,"[{""patent_number"": ""US3067276A"", ""priority_date"": ""1957-06-06"", ""pub_date"": ""1962-12-04""}]",[],[],[],US821625A,https://patents.google.com/patent/US821625A
"[{""inventor_name"": ""Jr Carl Meade Mcclearn""}, {""inventor_name"": ""Thomas Alva Edison Miller""}]","[{""assignee_name"": ""International Business Machines Corp""}]","[{""assignee_name"": ""\n    International Business Machines Corp\n  ""}]",1975-11-18,1974-06-25,1975-11-18,,"[{""patent_number"": ""US4031512A"", ""priority_date"": ""1975-05-29"", ""pub_date"": ""1977-06-21""}, {""patent_number"": ""US4034351A"", ""priority_date"": ""1975-02-12"", ""pub_date"": ""1977-07-05""}, {""patent_number"": ""US4087643A"", ""priority_date"": ""1976-03-10"", ""pub_date"": ""1978-05-02""}, {""patent_number"": ""US4149144A"", ""priority_date"": ""1976-09-14"", ""pub_date"": ""1979-04-10""}, {""patent_number"": ""US4199662A"", ""priority_date"": ""1978-07-17"", ""pub_date"": ""1980-04-22""}, {""patent_number"": ""WO1983001873A1"", ""priority_date"": ""1981-11-20"", ""pub_date"": ""1983-05-26""}, {""patent_number"": ""EP0084883A1"", ""priority_date"": ""1982-01-26"", ""pub_date"": ""1983-08-03""}, {""patent_number"": ""US4445213A"", ""priority_date"": ""1979-07-31"", ""pub_date"": ""1984-04-24""}, {""patent_number"": ""WO1984004833A1"", ""priority_date"": ""1983-05-20"", ""pub_date"": ""1984-12-06""}, {""patent_number"": ""US4581732A"", ""priority_date"": ""1982-12-28"", ""pub_date"": ""1986-04-08""}, {""patent_number"": ""US4646292A"", ""priority_date"": ""1985-10-01"", ""pub_date"": ""1987-02-24""}, {""patent_number"": ""US4703451A"", ""priority_date"": ""1983-05-02"", ""pub_date"": ""1987-10-27""}, {""patent_number"": ""US4768188A"", ""priority_date"": ""1982-05-20"", ""pub_date"": ""1988-08-30""}, {""patent_number"": ""US4769839A"", ""priority_date"": ""1983-05-31"", ""pub_date"": ""1988-09-06""}, {""patent_number"": ""US4792944A"", ""priority_date"": ""1985-12-20"", ""pub_date"": ""1988-12-20""}, {""patent_number"": ""US5062035A"", ""priority_date"": ""1986-06-24"", ""pub_date"": ""1991-10-29""}, {""patent_number"": ""WO1993014580A1"", ""priority_date"": ""1992-01-13"", ""pub_date"": ""1993-07-22""}, {""patent_number"": ""US5581553A"", ""priority_date"": ""1993-08-18"", ""pub_date"": ""1996-12-03""}, {""patent_number"": ""US6529548B1"", ""priority_date"": ""1999-03-25"", ""pub_date"": ""2003-03-04""}]","[{""patent_number"": ""CH607474A5"", ""priority_date"": ""1976-11-12"", ""pub_date"": ""1978-12-29""}, {""patent_number"": ""DE2826322C2"", ""priority_date"": ""1978-06-15"", ""pub_date"": ""1987-01-08""}, {""patent_number"": ""DE3232133A1"", ""priority_date"": ""1982-08-28"", ""pub_date"": ""1984-03-01""}]","[{""patent_number"": ""US3483329A"", ""priority_date"": ""1966-02-11"", ""pub_date"": ""1969-12-09""}, {""patent_number"": ""US3544976A"", ""priority_date"": ""1968-07-02"", ""pub_date"": ""1970-12-01""}, {""patent_number"": ""US3644678A"", ""priority_date"": ""1969-03-21"", ""pub_date"": ""1972-02-22""}, {""patent_number"": ""US3639904A"", ""priority_date"": ""1969-11-10"", ""pub_date"": ""1972-02-01""}, {""patent_number"": ""US3632881A"", ""priority_date"": ""1970-03-16"", ""pub_date"": ""1972-01-04""}, {""patent_number"": ""US3796835A"", ""priority_date"": ""1970-09-30"", ""pub_date"": ""1974-03-12""}, {""patent_number"": ""US3732374A"", ""priority_date"": ""1970-12-31"", ""pub_date"": ""1973-05-08""}, {""patent_number"": ""US3705267A"", ""priority_date"": ""1971-09-03"", ""pub_date"": ""1972-12-05""}, {""patent_number"": ""US3751597A"", ""priority_date"": ""1971-12-30"", ""pub_date"": ""1973-08-07""}, {""patent_number"": ""US3845472A"", ""priority_date"": ""1972-12-15"", ""pub_date"": ""1974-10-29""}]",[],US3921137A,https://patents.google.com/patent/US3921137A
